Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,01/15/2019 06:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,AC&F: Watercolor Workshop,Agency Produced Event,Arts/Culture,AC&F,42,Young Adult;#Adults;#Teens;#Seniors;#Adaptive;#General Public
Recreation,,01/11/2019 06:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Drip The Runway: Youth Art and Fashion,Agency Produced Event,Performance,,95,Children;#Teens;#Young Adult;#Adults;#Seniors;#Adaptive;#General Public
Recreation,Central Recreation Art Instructor- Soomi,06/20/2018 03:30:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Children's Art Exploration Exhibition,Local Event,Arts/Culture,,20,Children;#General Public
Recreation,,06/21/2019 11:00:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,Senior Social,Agency Produced Event,Fitness,Dance,34,Seniors
Recreation,,06/22/2019 09:00:00 AM,Manhattan,Recreation Center,Chelsea Recreation Center,Family Fit Soca Dance,Community Based Event,Fitness,Dance,28,Adults;#Young Adult;#Seniors;#General Public
Recreation,,01/22/2019 06:00:00 PM,Manhattan,Recreation Center,Recreation Center 54,AC&F: Watercolor workshop,Agency Produced Event,Arts/Culture,AC&F,54,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public
Urban Park Rangers,Public,06/28/2019 02:30:00 PM,Brooklyn,Pool,Commodore barry,Cool Pools,Agency Produced Event,Nature,Cool Pools,45,General Public
Urban Park Rangers,,06/27/2019 10:30:00 AM,Manhattan,Pool,Dry Dock,Buggin' Out!,Agency Produced Event,Nature,Cool Pools,75,General Public
Recreation,,03/29/2019 06:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Strictly Tango,Agency Produced Event,Arts/Culture,Dance,62,Adults;#Teens;#Adaptive;#Seniors;#General Public
Urban Park Rangers,,06/27/2019 10:30:00 AM,Brooklyn,Pool,Douglas and Degraw,Cool Pools,Agency Produced Event,Nature,Cool Pools,70,General Public
Recreation,,03/16/2019 10:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,Pre-Spring Family Art and Design,Agency Produced Event,Arts/Culture,,27,Adaptive;#Teens;#Adults;#Young Adult;#General Public;#Seniors;#Children
Urban Park Rangers,NYC Parks Central Recreation,06/15/2019 11:00:00 AM,Manhattan,Park,Central Park,Adventures NYC,Agency Produced Event,Sport,,"5,000",Children;#Young Adult;#Adults;#Teens
Urban Park Rangers,,06/27/2019 10:30:00 AM,Staten Island,Pool,West Brighton,Jaw Dropping Sharks,Agency Produced Event,Nature,Cool Pools,45,General Public
Recreation,,01/31/2018 12:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Event National Women & Girls Sports Day,Community Based Event,Sport,Tier 1,757,Tot;#Children
Recreation,,06/15/2018 08:30:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Black Panther,Community Based Event,Mobile Unit,Movies,125,General Public
