Unit,Group Name/Partner,Date and Time,Borough,LocationType,Park,Event Name,EventType,Category,Classification,Attendance,Audience,acres,Attendance_acre
Urban Park Rangers,General Public,08/19/2020 03:30:00 PM,Bronx,Park,Highbridge Park,Highbridge History,Community Based Event,Nature,Summer 2020,5,Children;#Young Adult;#Adults,131,0.03816793893129771
Urban Park Rangers,General Public,08/20/2020 09:30:00 AM,Manhattan,Park,Inwood Hill Park,Hey aren't you those rangers from facebook live?,Community Based Event,Nature,Summer 2020,4,General Public,196.398,0.020366806179288995
Urban Park Rangers,general public,08/20/2020 10:00:00 AM,Manhattan,Park,Central Park,What are you using for bait?,Community Based Event,Nature,Summer 2020,2,General Public,842.6,0.0023736055067647755
Recreation,Art Students League,08/20/2020 10:30:00 AM,Manhattan,Park,Inwood Hill Park,"Arts, Culture & Fun",Local Event,Arts/Culture,AC&F,8,Children;#Adults;#Seniors,196.398,0.04073361235857799
Urban Park Rangers,general public,08/20/2020 12:15:00 PM,Manhattan,Park,Central Park,When do the butterflies leave?,Community Based Event,Nature,Summer 2020,3,General Public,842.6,0.0035604082601471635
Recreation,NYC Parks & Recreation Staff Sasha,08/21/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art in Nature,Agency Produced Event,Arts/Culture,Summer 2020,2,Tot;#Children,205.31,0.009741366713749939
Urban Park Rangers,General Public,08/21/2020 03:20:00 AM,Bronx,Park,Crotona Park,Animal Olympics,Agency Produced Event,Nature,Summer 2020,18,Children,127.5,0.1411764705882353
Recreation,ACF,08/21/2020 06:30:00 PM,Bronx,Park,Soundview Park,ACF Nature Art,Agency Produced Event,Arts/Culture,Summer 2020,7,Adults,205.31,0.03409478349812479
Recreation,Tasha Valentino,08/24/2020 11:00:00 AM,Bronx,Park,Soundview Park,Qigong,Agency Produced Event,Fitness,NA,0,Adults,205.31,0
Urban Park Rangers,General Public,08/23/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Morningside Park Cleanup,Community Based Event,Nature,Summer 2020,17,General Public,29.888,0.5687901498929336
Recreation,Giovanni Feliciano,08/12/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,8,Tot;#Children;#Teens;#Adults,131,0.061068702290076333
Recreation,NA,08/04/2018 06:00:00 PM,Manhattan,Park,Inwood Hill Park,Movies Under the Stars - Valerian City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,157,General Public,196.398,0.799397142537093
Recreation,Zuleika Diaz,08/25/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,9,Adults;#Tot,131,0.06870229007633588
Recreation,Zuleika Diaz,08/20/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,7,Tot;#Children;#Adults,131,0.05343511450381679
Recreation,Zuleika Diaz,08/19/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,Sport,Summer 2020,3,Adults,131,0.022900763358778626
Recreation,NA,08/04/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,33,General Public,127.5,0.25882352941176473
Recreation,Tasha Valentino,08/31/2020 11:00:00 AM,Bronx,Park,Soundview Park,Qigong,Agency Produced Event,Fitness,Summer 2020,0,Adults,205.31,0
Urban Park Rangers,General Public,08/26/2020 11:00:00 AM,Bronx,Park,Highbridge Park,"Ask A Ranger About: Highbridge, NYC Parks, NYC Water",Agency Produced Event,Nature,Summer 2020,9,General Public,131,0.06870229007633588
Urban Park Rangers,General Public,08/27/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Raccoon Outreach,Community Based Event,Nature,Summer 2020,32,General Public,196.398,0.16293444943431196
Recreation,Zuleika Diaz,08/26/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,2,Children;#Teens,131,0.015267175572519083
Urban Park Rangers,General Public,08/27/2020 02:45:00 PM,Manhattan,Park,Inwood Hill Park,Wildlife Walk,Community Based Event,Nature,Summer 2020,5,General Public,196.398,0.025458507724111245
Urban Park Rangers,General Public,08/28/2020 09:40:00 AM,Manhattan,Park,Central Park,Mobbing Hawks,Community Based Event,Nature,Summer 2020,7,General Public,842.6,0.008307619273676715
Recreation,Zuleika Diaz,08/25/2020 10:30:00 AM,Manhattan,Park,Highbridge Park,KIM Outdoor Programming,Community Based Event,KIM,Summer 2020,3,Children;#Teens;#Tot,131,0.022900763358778626
Recreation,NA,08/28/2020 10:00:00 AM,Bronx,Park,Soundview Park,Photography and Art in Nature at Soundview Park,Agency Produced Event,Arts/Culture,Summer 2020,2,Children,205.31,0.009741366713749939
Urban Park Rangers,General Public,08/28/2020 11:00:00 AM,Bronx,Park,Crotona Park,Storytelling,Agency Produced Event,Nature,Summer 2020,2,Children,127.5,0.01568627450980392
Recreation,Tasha Valentino,08/31/2020 12:00:00 AM,Bronx,Park,Soundview Park,Mindful Play,Agency Produced Event,Fitness,Summer 2020,0,Children,205.31,0
Recreation,NA,08/10/2018 08:00:00 PM,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,65,General Public,2771.747,0.023450913809954517
Urban Park Rangers,General Public,08/30/2020 03:00:00 PM,Manhattan,Park,Morningside Park,Tree ID Hike,Community Based Event,Nature,Summer 2020,5,General Public,29.888,0.16729122055674517
Recreation,shapeup nyc,07/22/2020 10:35:00 AM,Bronx,Park,Crotona Park,bootcamp,Community Based Event,Fitness,Summer 2020,0,Adults,127.5,0
Urban Park Rangers,General Public,09/02/2020 09:30:00 AM,Manhattan,Park,Central Park,Monumental Women,Community Based Event,Arts/Culture,Summer 2020,20,General Public,842.6,0.023736055067647758
Urban Park Rangers,General Public,09/02/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Raccoons of Inwood Hill Park,Agency Produced Event,Nature,Summer 2020,20,General Public;#Seniors;#Teens;#Adults;#Children;#Tot,196.398,0.10183403089644498
Urban Park Rangers,General Public,09/03/2020 02:00:00 PM,Manhattan,Park,Inwood Hill Park,Raccoon Reminders,Community Based Event,Nature,Summer 2020,20,General Public,196.398,0.10183403089644498
